,Nom,variable,value
4203,Fomba Lamine,Match8,5.0
4204,Deaux Lucas,Match8,6.5
4205,Valdivia Pierrick,Match8,
4206,Depres Clement,Match8,
4207,Denkey Kéivn,Match8,4.5
4208,Ben Amar Sami,Match8,
4209,Ripart Renaud,Match8,5.0
4210,Stojanovski Vlatko,Match8,4.5
4211,Larsonneur Gautier,Match8,6.5
4212,Léon Donovan,Match8,
4213,Castelletto Jean-Charles,Match8,4.0
4214,Bain Denys,Match8,4.0
4215,Chardonnet Brendan,Match8,
4216,Belaud Gaëtan,Match8,
4217,Perraud Romain,Match8,3.5
4218,Faussurier Julien,Match8,5.0
4219,Baal Ludovic,Match8,
4220,Kiki Enangon David,Match8,
4221,Belkebla Haris,Match8,3.5
4222,Diallo Ibrahima,Match8,5.0
4223,N'Goma Ferris,Match8,
4224,Autret Mathias,Match8,5.0
4225,Court Yoann,Match8,3.0
4226,Battocchio Cristian,Match8,
4227,Lasne Paul,Match8,5.0
4228,,Match8,
4229,,Match8,
4230,Charbonnier Gaëtan ,Match8,2.5
4231,Grandsir Samuel,Match8,
4232,Mayi Kévin,Match8,
4233,Osei Yaw Derick,Match8,
4234,Cardona Irvin,Match8,
4235,Mendy Alexandre,Match8,5.5
4236,Oukidja Alexandre,Match8,5.5
4237,Delecroix Paul,Match8,
4238,N'Doram Kevin,Match8,5.5
4239,Boye John,Match8,4.5
4240,Sunzu Stoppila,Match8,
4241,Centonze Fabien,Match8,3.5
4242,Delaine Thomas,Match8,4.0
4243,Fofana Mamdou,Match8,5.0
4244,,Match8,
4245,,Match8,
4246,,Match8,
4247,,Match8,
4248,Cohade Renaud,Match8,5.0
4249,Maïga Habib,Match8,7.0
4250,Boulaya Farid,Match8,
4251,Nguette Opa,Match8,4.0
4252,Gakpa Marvin,Match8,5.0
4253,Angban Victorien,Match8,
4254,Traoré Adama,Match8,5.0
4255,,Match8,
4256,,Match8,
4257,,Match8,
4258,Diallo Habib,Match8,6.0
4259,Niane Ibrahima,Match8,5.5
4260,Ambrose Thierry,Match8,4.5
4261,,Match8,
4262,,Match8,
4263,,Match8,
