,Poste,Cote,Nom,Titula,Entres,Buts,Moyenne,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,Match12,Match13,Match14,Match15,Match16,Match17,Match18,Match19,Match20,Match21,Match22,Match23,Match24,Match25,Match26,Match27,Match28,Match29,Match30,Match31,Match32,Match33,Match34,Match35,Match36,Match37,Match38,team,var
20,M,16.0,Ben Arfa Hatem,23.0,3.0,7,5.211538461538462,,,,,,5.0,4.5,5.0,8.0,4.5,3.5,,4.5,6.0,,7.0,6.5,3.5,6.5,6.0,6.0,3.5,4.5,6.5,4.5,,5.0,5.0,,4.0,7.0,6.0,4.5,4.0,,4.5,,,SRFC,1.4834615384615384
21,M,,Poha Denis,,2.0,,4.75,5.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRFC,0.125
22,M,7.0,Johansson Jakob,7.0,9.0,1,5.125,,,,,,,,,5.0,5.5,,6.0,6.5,5.0,4.0,,4.5,4.5,5.0,4.5,,,,,,,,,,,,5.5,4.5,6.0,5.0,5.0,5.5,,SRFC,0.45
23,M,11.0,Camavinga Eduardo,4.0,2.0,,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,5.0,5.0,,6.0,5.5,,6.0,6.0,SRFC,0.20238095238095236
24,M,8.0,Del Castillo Romain,15.0,14.0,,4.810344827586207,4.5,5.0,5.0,5.5,4.0,5.0,,5.0,5.0,5.0,3.5,7.5,5.0,4.0,3.0,5.0,,5.0,5.0,,,,,4.5,4.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.5,,5.0,,4.5,SRFC,0.5966748768472908
25,A,7.0,Siebatcheu Jordan,7.0,8.0,3,4.866666666666666,,,4.5,5.0,5.0,5.0,4.5,4.5,,,,4.5,4.5,,4.5,6.0,4.5,3.5,8.0,,4.5,,,4.5,,,,,,,,,,,,,,,SRFC,1.0166666666666668
26,A,20.0,Ismaila Sarr,32.0,3.0,8,5.4,4.0,6.5,7.0,5.5,4.5,5.0,5.0,4.5,5.0,6.0,5.0,6.5,6.0,5.5,4.5,7.0,6.0,4.5,6.5,4.5,5.0,3.0,6.0,6.0,,4.5,,7.0,5.0,4.5,4.5,5.0,3.5,,6.0,7.0,6.0,7.0,SRFC,1.1147058823529414
27,A,25.0,Niang M'Baye,19.0,10.0,11,5.431034482758621,,,,5.0,4.0,5.0,5.0,6.0,5.0,4.5,5.0,,4.5,,,4.5,5.0,6.5,,4.0,4.0,6.0,6.0,7.0,4.5,4.5,,6.0,6.5,5.0,7.0,5.0,6.0,,7.0,6.0,5.0,8.0,SRFC,1.0843596059113303
28,A,4.0,Lauriente Armand,,1.0,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,SRFC,
29,A,,Sakho Diafra,2.0,,,4.0,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRFC,0.5
0,G,14.0,Dupé Maxime,10.0,1.0,,4.909090909090909,,,,,,,,,,,,,,,3.0,5.0,,,,,,5.0,,,,,,5.5,5.0,4.0,,,5.0,4.0,6.5,6.0,5.0,,FCN,0.9409090909090908
1,G,10.0,Tatarusanu Ciprian,27.0,,,5.62962962962963,5.0,5.5,5.0,5.5,6.0,6.0,5.5,8.0,5.0,6.0,6.0,5.0,7.0,4.5,5.0,,5.0,6.0,5.5,4.5,5.0,,6.0,3.0,6.0,6.0,6.0,,,,8.0,6.0,,,,,,,FCN,1.0306267806267806
2,G,1.0,Olliero Alexandre,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FCN,
3,D,,Djidji Koffi,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCN,
4,D,9.0,Kwateng Enock,22.0,8.0,,4.883333333333334,3.0,3.5,5.0,5.0,5.5,4.5,3.5,5.0,,7.5,5.5,6.0,4.0,,4.0,5.0,5.0,6.0,4.5,,5.0,5.5,5.5,,4.0,4.5,5.0,5.0,5.0,,4.5,5.0,5.5,,,,4.5,5.0,FCN,0.7531609195402298
5,D,1.0,Walongwa Anthony,1.0,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,FCN,
6,D,15.0,Diego Carlos,35.0,,2.0,5.228571428571429,3.5,3.5,5.5,6.0,4.5,4.0,,,4.0,6.5,6.0,6.0,5.0,5.0,4.0,5.0,4.5,7.0,5.5,5.5,4.5,4.5,7.5,3.0,5.0,5.5,6.0,7.5,4.5,4.5,5.0,5.0,5.5,7.0,6.0,5.5,5.5,,FCN,1.1962184873949582
7,D,9.0,Lucas Lima,28.0,3.0,,4.758064516129032,4.5,3.5,4.5,5.5,5.0,4.5,3.0,5.0,4.5,7.0,6.5,5.0,5.0,5.5,3.0,7.0,4.5,4.5,5.0,4.0,4.0,,,3.0,4.5,,,,4.0,4.0,,5.0,5.0,,6.0,5.0,5.5,4.5,FCN,1.014516129032258
8,D,,Miazga Matt,8.0,,,4.5,,4.0,5.0,5.5,6.0,4.5,4.5,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCN,1.1428571428571428
9,D,,Kara Mbodji Serigne Modou,6.0,,,5.333333333333333,,,,,,,5.0,5.5,,6.0,5.5,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,FCN,0.16666666666666669
10,D,10.0,Fabio,15.0,5.0,,4.825,,,,,,,,5.0,4.5,,5.0,,5.0,5.5,4.0,5.0,,,5.0,4.5,,4.0,5.0,3.5,,,,6.0,4.0,5.0,,5.0,,5.0,6.0,4.5,5.0,,FCN,0.4019736842105262
11,D,9.0,Charles Traoré,13.0,,,5.076923076923077,,,,,,,,,,,,,,,,,,,,,6.0,6.5,5.5,,4.5,6.0,5.0,4.5,4.5,,5.0,5.0,,5.0,,3.5,5.0,,FCN,0.6185897435897436
12,D,7.0,Edgar Ié,9.0,,,4.722222222222222,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.5,4.5,5.0,4.5,,4.0,3.5,,4.5,5.0,,,,,FCN,0.9444444444444445
13,D,8.0,Basila Thomas,1.0,1.0,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,5.0,,,,FCN,0.125
14,D,15.0,Pallois Nicolas,24.0,,2.0,5.145833333333333,,,,,,,,,,,,5.5,5.0,4.0,3.0,5.5,5.0,7.5,4.5,4.0,4.5,,6.5,4.0,,7.0,5.0,6.0,5.5,4.0,5.5,,4.0,5.5,7.0,5.5,5.0,4.5,FCN,1.2278079710144927
15,M,16.0,Touré Abdoulaye,30.0,4.0,3.0,5.397058823529412,4.5,3.5,,5.5,,,,6.0,5.5,7.5,7.0,7.0,5.5,5.0,4.0,7.5,5.0,5.5,5.5,5.5,4.5,6.0,5.5,4.0,4.0,5.0,5.0,5.0,4.5,5.0,6.0,6.0,5.0,5.0,7.5,5.0,5.0,5.5,FCN,1.0118092691622105
16,M,23.0,Rongier Valentin,36.0,,4.0,5.527777777777778,4.5,3.5,5.0,5.0,5.0,5.0,5.5,6.0,4.0,6.5,5.0,7.0,4.5,,,5.0,5.5,6.5,4.5,6.0,4.5,5.0,7.0,6.0,4.5,7.5,3.5,7.0,5.0,5.0,5.5,5.5,7.0,6.0,7.5,6.0,5.5,7.0,FCN,1.1420634920634918
17,M,14.0,Moutoussamy Samuel,19.0,9.0,2.0,4.928571428571429,4.0,4.0,5.0,4.5,4.5,4.5,5.0,,3.5,5.0,,,,6.0,4.0,5.0,5.0,4.5,,5.0,,4.5,,,,5.0,4.0,5.5,,5.0,5.0,4.5,6.0,7.0,7.0,6.0,4.5,4.5,FCN,0.716931216931217
18,M,12.0,Andrei Girotto,18.0,2.0,2.0,5.375,,,,,,,,,,7.0,5.5,8.0,4.0,5.5,,5.5,,5.0,5.5,4.0,5.0,5.5,3.5,5.0,,,5.5,,5.0,,3.5,,,7.5,5.0,6.0,6.0,,FCN,1.3914473684210527
19,M,7.0,Krhin Rene,12.0,4.0,,5.21875,,5.0,5.0,5.5,6.0,4.5,6.0,5.5,4.5,,,5.0,,,,,5.0,,5.5,,,4.5,5.0,,5.0,6.5,5.0,,,,,,,,,,,,FCN,0.33229166666666665
20,M,4.0,Kayembe Joris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCN,
21,M,3.0,Dabo Abdoulaye,2.0,,,4.0,3.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCN,0.5
22,M,11.0,Boschilia Gabriel,14.0,15.0,4.0,5.051724137931035,,4.5,5.0,5.0,5.0,5.0,5.5,7.0,3.5,8.0,7.0,6.5,5.0,5.0,4.0,6.5,4.0,,5.0,4.5,4.5,5.5,,4.0,,4.5,,,4.0,4.5,5.0,5.0,,4.5,4.5,4.5,,,FCN,1.0775862068965518
23,M,6.0,Lucas Evangelista,9.0,5.0,1.0,4.785714285714286,4.0,3.5,5.0,7.0,5.5,4.5,4.5,6.0,,,,,5.0,5.0,3.5,,,,,,,,,,,,,,,4.0,,,4.5,,,5.0,,,FCN,0.912087912087912
24,M,,Alexis Alegue,,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCN,
25,M,14.0,Limbombe Anthony,12.0,17.0,1.0,5.189655172413793,,,,5.0,5.0,5.0,5.0,5.0,4.5,6.5,5.0,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,4.5,,,5.0,5.0,5.0,,5.0,5.0,4.5,5.0,7.0,6.0,5.0,5.5,6.0,5.0,,FCN,0.32881773399014774
26,M,1.0,Louza Imran,1.0,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,FCN,
27,M,8.0,Eysseric Valentin,3.0,2.0,1.0,4.8,,,,,,,,,,,,,,,,,,,,,,,6.0,4.5,4.0,,5.0,,,4.5,,,,,,,,,FCN,0.575
28,M,4.0,Kolo Muani Randal,1.0,5.0,,4.333333333333333,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,5.0,,,4.5,,5.0,,,,,4.5,FCN,0.5666666666666667
29,A,,Sala Emiliano,16.0,3.0,12.0,5.394736842105263,6.5,3.5,6.0,6.0,4.5,4.0,6.0,,3.0,8.5,6.5,7.5,6.5,5.5,3.0,6.5,4.5,5.5,5.0,4.0,,,,,,,,,,,,,,,,,,,FCN,2.266081871345029
30,A,8.0,Mance Antonio,,5.0,,4.4,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.0,,4.5,,4.5,,,,,,,,,4.5,FCN,0.049999999999999996
31,A,1.0,Youan Thody Elie,,1.0,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,FCN,
32,A,22.0,Kalifa Coulibaly,19.0,13.0,8.0,4.703125,3.5,4.0,4.0,,4.5,6.0,4.0,4.5,4.0,4.5,4.0,4.5,,4.5,,4.5,2.5,4.5,,4.5,,5.5,5.0,6.0,4.0,4.5,4.0,4.0,4.0,6.0,,6.0,8.0,5.5,6.0,4.0,6.0,4.0,FCN,1.1106350806451613
33,A,12.0,Majeed Waris,25.0,8.0,5.0,5.0,4.5,4.5,5.0,5.0,4.5,4.0,5.5,4.5,3.5,4.5,4.5,4.5,5.0,6.0,3.5,,4.0,6.5,4.5,5.0,4.5,7.0,6.0,5.0,5.0,5.0,,7.0,,,5.0,6.5,6.5,4.5,5.5,,4.5,4.0,FCN,0.859375
0,G,9.0,Benaglio Diego,22.0,1.0,,5.173913043478261,5.5,6.5,6.5,4.0,6.0,5.0,5.0,5.0,,,4.5,5.5,4.5,6.0,4.5,6.5,6.0,6.0,4.5,4.0,3.0,,,,,,,,,,,,4.0,,,5.5,6.0,5.0,ASM,0.9001976284584979
1,G,7.0,Subasic Danijel,14.0,,,5.428571428571429,,,,,,,,,3.5,,,,,,,,,,,,,5.5,5.0,5.0,6.0,8.0,5.0,6.0,6.5,5.0,5.0,5.5,5.0,,5.0,,,,ASM,1.032967032967033
2,G,11.0,Sy Seydou,2.0,1.0,,3.8333333333333335,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.0,,,,ASM,0.5833333333333333
3,D,6.0,Raggi Andrea,6.0,,,4.75,,,,,,5.0,,4.5,3.5,,,,,,5.0,6.0,,4.5,,,,,,,,,,,,,,,,,,,,,ASM,0.675
4,D,9.0,Jemerson,25.0,,,5.08,5.5,6.0,4.5,4.0,5.0,,6.0,,3.5,,4.5,5.5,4.5,6.0,4.5,,5.5,3.5,,,,,5.0,6.0,,,,6.0,6.0,,4.5,6.0,4.0,4.0,6.0,5.5,5.5,,ASM,0.7433333333333333
5,D,,Touré Almamy,4.0,,,4.625,,5.0,4.5,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,0.22916666666666666
6,D,5.0,Serrano Julien,1.0,2.0,,5.0,5.0,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,ASM,0.0
7,D,9.0,Sidibe Djibril,22.0,4.0,,4.5576923076923075,,,5.0,4.0,5.0,,4.5,5.0,4.5,3.5,,,3.0,,,,4.5,,,,4.0,3.5,5.0,5.5,5.5,5.0,4.5,5.0,5.0,4.5,4.5,4.5,,5.5,3.0,4.5,6.0,4.0,ASM,0.5665384615384615
8,D,12.0,Glik Kamil,33.0,,1,4.863636363636363,5.5,5.5,4.5,3.5,5.0,5.0,5.5,5.0,4.0,4.5,5.5,4.0,,,,6.5,4.5,4.0,3.0,6.0,3.5,4.0,6.0,4.0,6.0,5.0,4.0,,6.0,5.0,5.0,6.0,4.0,,3.5,5.5,7.0,4.5,ASM,0.9573863636363636
9,D,5.0,Pierre Gabriel Ronael,4.0,,,5.375,5.0,,,,,,,,,,,,,6.0,5.0,5.5,,,,,,,,,,,,,,,,,,,,,,,ASM,0.22916666666666666
10,D,,Barreca Antonio,7.0,,,4.714285714285714,4.5,5.0,5.0,4.0,,5.0,,4.0,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,0.32142857142857145
11,D,6.0,N'Doram Kevin,2.0,2.0,,4.5,,,,,5.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,ASM,1.0
12,D,10.0,Badiashile Benoît,20.0,,1 / (-1),4.75,,,,,,,,,,,,,3.5,6.0,3.5,7.0,5.0,5.0,4.0,5.5,2.5,4.5,5.5,6.0,6.0,6.0,3.5,5.5,,4.5,,,3.5,4.0,,,,4.0,ASM,1.381578947368421
13,D,1.0,Biancone Giulian,1.0,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,ASM,
14,D,8.0,Naldo,5.0,2.0,,4.5,,,,,,,,,,,,,,,,,,,,5.5,3.5,4.0,,,,,,,,,,,,5.0,4.5,4.0,5.0,,ASM,0.5
15,D,11.0,Ballo-Toure Fode,18.0,,(-1),4.916666666666667,,,,,,,,,,,,,,,,,,,,5.5,3.5,4.0,4.5,5.0,5.5,5.5,5.0,6.0,6.0,,5.0,5.5,3.5,5.0,3.5,4.5,6.0,5.0,ASM,0.7132352941176471
16,D,8.0,Henrichs Benjamin,21.0,1.0,1,4.681818181818182,,,,3.0,5.5,,5.0,5.5,4.0,4.5,5.5,4.5,4.0,5.0,5.5,6.0,4.0,4.0,4.0,4.5,4.5,4.5,,,,,,,,4.5,,,5.0,,,,5.0,5.0,ASM,0.4891774891774892
17,M,,Adama Traoré,3.0,3.0,,4.666666666666667,,,4.0,,4.5,4.5,,4.5,,,5.5,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,ASM,0.2666666666666667
18,M,15.0,Rony Lopes,22.0,2.0,2,5.166666666666667,7.5,5.5,5.5,3.5,,,,,,,,,,,,,6.0,,,4.5,3.5,5.0,5.0,5.5,6.0,8.0,4.5,4.5,5.5,4.5,4.0,5.5,5.0,6.0,5.5,3.5,5.0,5.0,ASM,1.210144927536232
19,M,8.0,Aholou Jean Eudes,12.0,5.0,,5.029411764705882,5.0,6.0,4.5,4.0,6.0,,5.0,,5.0,4.5,4.0,,,,,,,,,,,,,,5.0,5.0,,,7.0,4.5,,6.0,5.0,3.5,,,,5.5,ASM,0.7647058823529411
