,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
493,Betis,,player_435090,Dani Martín,1,1,185,10,-,0.0,3.0,0.0
494,Valladolid,Shon,player_435679,Weissman,4,15,192,40,4.6,3.0,3.0,0.5
495,Celta,Diego,player_435712,Pampín,2,1,176,21,-,0.0,3.0,0.0
496,Sevilla,Alfonso,player_436216,Pastor,1,3,179,10,-,0.0,3.0,0.0
497,Sevilla,,player_436219,Javier Vázquez,2,1,179,21,-,0.0,3.0,0.0
498,Sevilla,Enrique,player_436222,Rios,2,1,179,20,-,0.0,3.0,0.0
499,Eibar,Bryan,player_436234,Gil,4,15,953,40,5.8,2.0,3.0,0.56
500,Valencia,Hugo,player_437460,Guillamón,2,9,191,20,5.0,1.0,3.0,0.5
501,Real Madrid,Victor,player_437463,Chust,2,1,186,20,-,0.0,3.0,0.0
502,Huesca,Sergio,player_437468,Gómez,3,9,2894,32,5.0,0.0,3.0,0.11
503,Atlético,Álvaro,player_437471,García,2,1,175,21,-,0.0,3.0,0.0
504,Bilbao,Jesús,player_437549,Areso,2,1,174,21,-,0.0,3.0,0.0
505,Barcelona,,player_437765,Riqui Puig,3,5,178,31,5,0.0,3.0,0.0
506,Celta,Miguel,player_437803,Baeza,3,10,176,32,4.8,1.0,3.0,0.22
507,Real Madrid,Adrián,player_437808,De la Fuente,2,1,186,20,-,0.0,3.0,0.0
508,Valladolid,Sergio,player_437810,López,2,1,192,21,-,0.0,3.0,0.0
509,Celta,Álvaro,player_438013,Fernández,1,3,176,10,-,0.0,3.0,0.0
510,Real Sociedad,Modibo,player_438022,Sagnan,2,8,188,20,4.7,0.0,3.0,0.33
511,Atlético,Josep,player_438316,Calavera,3,1,175,31,-,0.0,3.0,0.0
512,Sevilla,Adrián,player_439260,González,1,1,179,10,-,0.0,3.0,0.0
513,Osasuna,,player_439346,Kike Saverio,4,1,450,40,-,0.0,3.0,0.0
514,Atlético,Miguel,player_439595,San Román,1,1,175,10,-,0.0,3.0,0.0
515,Granada,Antonio,player_439598,Montoro,2,1,5683,20,-,0.0,3.0,0.0
516,Real Madrid,Hugo,player_439716,Duro,4,4,186,40,-,0.0,3.0,0.0
517,Bilbao,Unai,player_439768,Vencedor,3,9,174,31,4.8,0.0,3.0,0.44
518,Bilbao,,player_439771,Ander Iru,1,1,174,10,-,0.0,3.0,0.0
519,Bilbao,Oihan,player_439772,Sancet,3,10,174,32,5.0,1.0,3.0,0.06
520,Osasuna,Asier,player_439776,Córdoba,3,1,450,32,-,0.0,3.0,0.0
521,Celta,Sergio,player_439871,Carreira,2,5,176,21,4.8,1.0,3.0,0.17
522,Real Madrid,Diego,player_440014,Altube,1,3,186,10,-,0.0,3.0,0.0
523,Real Madrid,,player_440077,Rodrygo,4,8,186,40,5.1,0.0,3.0,0.22
524,Bilbao,Aitor,player_440593,Paredes,2,1,174,20,-,0.0,3.0,0.0
525,Granada,Nehuen,player_441052,Pérez,2,5,5683,20,5.0,0.0,3.0,0.11
526,Betis,Aitor,player_441303,Ruibal,3,11,185,32,5.2,1.0,3.0,0.44
527,Cadix,Sergio,player_441313,González,3,4,1737,31,4.0,0.0,3.0,0.06
528,Valencia,Cristian,player_442819,Rivero,1,7,191,10,-,0.0,3.0,0.0
529,Valladolid,Waldo,player_443761,Rubio,3,5,192,32,4.9,1.0,3.0,0.28
530,Barcelona,Junior,player_443967,Firpo,2,7,178,21,5.3,0.0,3.0,0.06
531,Barcelona,Ronald,player_445087,Araujo,2,13,178,20,5.8,1.0,3.0,0.44
532,Getafe,Ryan,player_445095,Nolan,2,1,1450,20,-,0.0,3.0,0.0
533,Barcelona,,player_447213,Jandro Orellana,3,1,178,31,-,0.0,3.0,0.0
534,Real Madrid,Sergio,player_448172,Santos,2,3,186,21,-,0.0,3.0,0.0
535,Granada,Eris,player_449459,Abedini,3,1,5683,31,-,0.0,3.0,0.0
536,Barcelona,Arnau,player_449924,Tenas,1,3,178,10,-,0.0,3.0,0.0
537,Real Sociedad,Jon,player_449931,Pacheco Dozagarat,2,1,188,20,-,0.0,3.0,0.0
538,Alavés,,player_449985,Tomás Tavares,2,6,173,21,4.8,0.0,3.0,0.0
539,Betis,Daniel,player_449993,Rebollo,1,1,185,10,-,0.0,3.0,0.0
540,Getafe,David,player_450425,Alba,2,1,1450,20,-,0.0,3.0,0.0
541,Valladolid,Miguel Ángel,player_450429,Rubio,2,1,192,20,-,0.0,3.0,0.0
542,Valencia,,player_451358,Lee Kang-In,3,7,191,32,5.2,0.0,3.0,0.39
543,Sevilla,Antonio,player_451587,Zarzana,3,2,179,32,-,0.0,3.0,0.0
544,Sevilla,,player_451787,Javi Díaz,1,1,179,10,-,0.0,3.0,0.0
545,Osasuna,,player_454317,Enric Gallego,4,7,450,40,4.3,0.0,3.0,0.33
546,Granada,Jesús,player_457200,Rodríguez,4,1,5683,40,-,0.0,3.0,0.0
547,Valencia,,player_458259,Álex Blanco,3,6,191,32,4.6,0.0,3.0,0.11
548,Levante,Joan,player_459601,Monterde,4,1,855,40,-,0.0,3.0,0.0
549,Real Sociedad,Roberto,player_460265,Navarro,3,1,188,32,5,0.0,3.0,0.0
550,Osasuna,Endika,player_463056,Irigoyen,2,1,450,21,-,0.0,3.0,0.0
551,Osasuna,,player_463057,Javi Martínez,3,9,450,32,5.0,0.0,3.0,0.06
