,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
0,Juventus,Gianluigi,player_4126,Buffon,1,10,128,10,5.5,0.0,5.0,0.24
1,Sassuolo,Gianluca,player_7485,Pegolo,1,7,2182,10,6.0,0.0,5.0,0.06
2,Lazio,,player_8432,Pepe Reina,1,14,129,10,5.5,0.0,5.0,0.65
3,Benevento,Christian,player_8522,Maggio,2,7,2000,21,4.2,0.0,5.0,0.12
4,Milan,Zlatan,player_9808,Ibrahimovic,4,39,120,40,6.6,10.0,5.0,0.35000000000000003
5,Spezia,Claudio,player_12026,Terzi,2,9,2036,20,4.7,1.0,5.0,0.71
6,Sampdoria,Fabio,player_12473,Quagliarella,4,26,603,40,5.1,7.0,5.0,0.71
7,Roma,Antonio,player_12730,Mirante,1,14,121,10,5.2,0.0,5.0,0.65
8,Sassuolo,Francesco,player_14715,Magnanelli,3,5,2182,31,4.8,0.0,5.0,0.12
9,Juventus,,player_14937,Cristiano Ronaldo,4,55,128,40,6.6,15.0,5.0,0.71
10,Genoa,Goran,player_15061,Pandev,4,10,990,40,4.7,1.0,5.0,0.35000000000000003
11,Torino,Antonio,player_17192,Rosati,1,3,135,10,-,0.0,5.0,0.0
12,Benevento,Pier Graziano,player_17331,Gori,1,1,2000,10,-,0.0,5.0,0.0
13,Crotone,Alex,player_17423,Cordaz,1,18,744,10,4.6,0.0,5.0,1.0
14,Genoa,Andrea,player_17985,Masiello,2,8,990,20,4.6,0.0,5.0,0.71
15,Juventus,Giorgio,player_18102,Chiellini,2,7,128,20,5.3,0.0,5.0,0.12
16,Crotone,Luca,player_18362,Cigarini,3,5,744,31,4.3,0.0,5.0,0.35000000000000003
17,Inter,Daniele,player_18377,Padelli,1,7,127,10,-,0.0,5.0,0.0
18,Inter,Samir,player_18383,Handanovic,1,14,127,10,5.2,0.0,5.0,1.0
19,Sassuolo,Andrea,player_18500,Consigli,1,19,2182,10,5.5,0.0,5.0,0.9400000000000001
20,Inter,Ashley,player_18892,Young,2,15,127,21,5.0,0.0,5.0,0.53
21,Verona,,player_19620,Miguel Veloso,3,13,126,31,5.5,2.0,5.0,0.53
22,Napoli,Fernando,player_19760,Llorente,4,3,459,40,4.3,0.0,5.0,0.0
23,Genoa,Domenico,player_19821,Criscito,2,11,990,21,4.8,1.0,5.0,0.35000000000000003
24,Genoa,Lasse,player_19891,Schöne,3,4,990,31,-,0.0,5.0,0.0
25,Roma,Simone,player_19902,Farelli,1,3,121,10,-,0.0,5.0,0.0
26,Udinese,Stefano,player_20046,Okaka,4,8,136,40,4.7,2.0,5.0,0.47000000000000003
27,Bologna,Rodrigo,player_20153,Palacio,4,12,123,40,5,1.0,5.0,1.0
28,Genoa,Valon,player_21123,Behrami,3,9,990,31,4.9,0.0,5.0,0.24
29,Bologna,Lorenzo,player_21125,De Silvestri,2,9,123,21,4.4,1.0,5.0,0.8200000000000001
30,Torino,Salvatore,player_21155,Sirigu,1,11,135,10,4.5,0.0,5.0,0.88
31,Benevento,Nicolò,player_21207,Manfredini,1,7,2000,10,-,0.0,5.0,0.0
32,Lazio,Silvio,player_27251,Proto,1,1,129,10,-,0.0,5.0,0.0
33,Parma,,player_27256,Bruno Alves,2,10,131,20,4.6,0.0,5.0,0.8200000000000001
34,Genoa,,player_27300,Cristián Zapata,2,7,990,20,5.0,0.0,5.0,0.47000000000000003
35,Lazio,Stefan,player_27353,Radu,2,10,129,20,5.0,0.0,5.0,0.76
36,Fiorentina,Borja,player_27794,Valero,3,10,125,31,5.1,0.0,5.0,0.12
37,Juventus,Leonardo,player_28277,Bonucci,2,20,128,20,5.5,2.0,5.0,0.8200000000000001
38,Fiorentina,Franck,player_28559,Ribéry,4,13,125,40,5.0,0.0,5.0,0.76
39,Cagliari,Diego,player_32281,Godín,2,7,124,20,4.8,1.0,5.0,0.47000000000000003
40,Verona,Samuel,player_32286,Di Carmine,4,6,126,40,4.1,0.0,5.0,0.35000000000000003
41,Cagliari,Ragnar,player_33871,Klavan,2,7,124,20,4.8,0.0,5.0,0.29
42,Parma,Simone,player_37020,Iacoponi,2,9,131,20,4.4,0.0,5.0,0.59
43,Inter,Alexis,player_37265,Sánchez,4,13,127,40,5.3,2.0,5.0,0.41000000000000003
44,Sassuolo,Federico,player_38476,Peluso,2,4,2182,21,5.0,0.0,5.0,0.06
45,Genoa,Federico,player_38479,Marchetti,1,7,990,10,3.3,0.0,5.0,0.12
46,Sampdoria,Nicola,player_38597,Ravaglia,1,3,603,10,-,0.0,5.0,0.0
47,Inter,Radja,player_38833,Nainggolan,3,6,127,32,5.2,0.0,5.0,0.12
48,Verona,Luigi,player_38986,Vitale,2,2,126,21,-,0.0,5.0,0.0
49,Inter,Andrea,player_39167,Ranocchia,2,6,127,20,5.8,0.0,5.0,0.18
50,Cagliari,Simone,player_39354,Aresti,1,3,124,10,-,0.0,5.0,0.0
51,Benevento,Perparim,player_39481,Hetemaj,3,12,2000,32,5.1,0.0,5.0,0.53
52,Udinese,Fernando,player_39570,Forestieri,4,8,136,40,4.8,1.0,5.0,0.12
53,Udinese,Sebastien,player_39781,De Maio,2,6,136,20,4.8,0.0,5.0,0.41000000000000003
54,Crotone,Mattia,player_39782,Mustacchio,3,3,744,32,-,0.0,5.0,0.0
55,Juventus,Sami,player_39816,Khedira,3,2,128,31,-,0.0,5.0,0.0
56,Inter,Danilo,player_39826,D'Ambrosio,2,12,127,21,5.1,3.0,5.0,0.24
57,Bologna,Andrea,player_39830,Poli,3,6,123,31,4.7,0.0,5.0,0.12
58,Benevento,Pasquale,player_39970,Schiattarella,3,13,2000,31,5.3,1.0,5.0,0.88
59,Lazio,Davide,player_40001,Di Gennaro,3,2,129,31,-,0.0,5.0,0.0
60,Inter,Matteo,player_40002,Darmian,2,9,127,21,5.0,0.0,5.0,0.53
61,Benevento,Marco,player_40239,Sau,4,12,2000,40,5.1,3.0,5.0,0.24
62,Benevento,Nicolas,player_40364,Viola,3,4,2000,32,-,0.0,5.0,0.0
63,Genoa,Ivan,player_40436,Radovanovic,3,10,990,31,5.1,0.0,5.0,0.41000000000000003
64,Roma,Federico,player_40792,Fazio,2,2,121,20,-,0.0,5.0,0.0
65,Juventus,Aaron,player_41792,Ramsey,3,8,128,32,5.6,1.0,5.0,0.47000000000000003
66,Udinese,Sebastian,player_41945,Prödl,2,1,136,20,-,0.0,5.0,0.0
67,Lazio,Felipe,player_42173,Caicedo,4,14,129,40,5.1,6.0,5.0,0.41000000000000003
68,Sampdoria,Lorenzo,player_42426,Tonelli,2,10,603,20,4.8,0.0,5.0,0.76
69,Roma,Edin,player_42544,Dzeko,4,25,121,40,5.4,7.0,5.0,0.76
70,Inter,Arturo,player_42565,Vidal,3,11,127,31,5.2,0.0,5.0,0.59
71,Inter,Aleksandar,player_42593,Kolarov,2,9,127,21,5.1,0.0,5.0,0.24
72,Torino,Samir,player_42825,Ujkani,1,3,135,10,-,0.0,5.0,0.0
73,Lazio,,player_43191,Lucas Leiva,3,9,129,31,5.0,0.0,5.0,0.59
74,Parma,,player_43274,Gervinho,4,13,131,40,5.0,4.0,5.0,0.76
75,Fiorentina,Martín,player_43693,Cáceres,2,11,125,20,4.6,1.0,5.0,0.76
76,Milan,Ciprian,player_44898,Tatarusanu,1,7,120,10,3.5,0.0,5.0,0.06
77,Benevento,Massimo,player_45019,Volta,2,2,2000,20,-,0.0,5.0,0.0
78,Inter,Ivan,player_45034,Perisic,3,15,127,32,5.1,1.0,5.0,0.53
79,Sampdoria,Antonio,player_45156,Candreva,3,20,603,32,5.9,3.0,5.0,0.65
80,Sampdoria,,player_46483,Adrien Silva,3,10,603,31,5.2,0.0,5.0,0.29
81,Milan,Simon,player_48714,Kjaer,2,11,120,20,5.5,0.0,5.0,0.71
82,Napoli,David,player_48844,Ospina,1,12,459,10,4.9,0.0,5.0,0.53
83,Bologna,Gary,player_48853,Medel,3,11,123,31,5.3,0.0,5.0,0.29
84,Verona,Marco,player_49391,Faraoni,2,10,126,21,5.3,0.0,5.0,0.8200000000000001
85,Fiorentina,Giacomo,player_49417,Bonaventura,3,9,125,32,5.0,0.0,5.0,0.65
86,Roma,,player_49579,Pedro,4,18,121,40,5.4,3.0,5.0,0.71
87,Sampdoria,Vasco,player_49940,Regini,2,4,603,20,4.3,0.0,5.0,0.06
88,Crotone,Luca,player_49988,Siligardi,4,5,744,40,4.5,0.0,5.0,0.0
89,Crotone,Andrea,player_50016,Rispoli,2,6,744,21,4.7,0.0,5.0,0.06
90,Parma,Simone,player_50322,Colombi,1,7,131,10,-,0.0,5.0,0.0
91,Verona,Nikola,player_50401,Kalinic,4,6,126,40,4.5,1.0,5.0,0.41000000000000003
92,Sampdoria,Albin,player_50779,Ekdal,3,21,603,31,5.4,2.0,5.0,0.88
93,Sassuolo,Francesco,player_50821,Caputo,4,29,2182,40,5.5,6.0,5.0,0.59
94,Torino,Tomás,player_50933,Rincón,3,13,135,31,5.3,0.0,5.0,0.9400000000000001
95,Torino,Cristian,player_50937,Ansaldi,2,9,135,21,4.8,1.0,5.0,0.24
96,Lazio,Marco,player_51221,Parolo,3,7,129,31,4.8,0.0,5.0,0.29
97,Crotone,Emmanuel,player_51621,Rivière,4,9,744,40,4.5,1.0,5.0,0.29
98,Fiorentina,José,player_51732,Callejón,3,7,125,32,4.8,0.0,5.0,0.29
99,Benevento,Iago,player_51960,Falque,3,5,2000,32,4.6,0.0,5.0,0.12
100,Lazio,Senad,player_52049,Lulic,3,2,129,31,-,0.0,5.0,0.0
101,Torino,Nicolas,player_52775,Nkoulou,2,8,135,20,4.4,1.0,5.0,0.35000000000000003
102,Cagliari,Fabio,player_53344,Pisacane,2,6,124,20,4.7,0.0,5.0,0.12
103,Bologna,,player_53686,Danilo,2,10,123,20,4.4,0.0,5.0,0.9400000000000001
104,Juventus,,player_53693,Alex Sandro,2,12,128,21,5.4,0.0,5.0,0.24
105,Roma,Javier,player_54782,Pastore,3,2,121,32,-,0.0,5.0,0.0
106,Napoli,Dries,player_54917,Mertens,4,27,459,40,6.2,4.0,5.0,0.59
107,Atalanta,Marco,player_55083,Sportiello,1,7,456,10,4.8,0.0,5.0,0.41000000000000003
108,Benevento,Alessandro,player_55414,Tuia,2,9,2000,20,4.8,1.0,5.0,0.41000000000000003
109,Roma,Davide,player_55604,Santon,2,4,121,21,5.1,0.0,5.0,0.18
