,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
0,Man. United,Lee,player_6744,Grant,1,3,1,10,-,0.0,2.0,0.0
1,Sheffield,Phil,player_7645,Jagielka,2,4,49,20,4.0,0.0,2.0,0.06
2,West Bromwich,Andy,player_11948,Lonergan,1,1,35,10,-,0.0,2.0,0.0
3,Leicester,Eldin,player_11974,Jakupovic,1,1,13,10,-,0.0,2.0,0.0
4,Leicester,Wes,player_15033,Morgan,2,6,13,20,5,0.0,2.0,0.0
5,Liverpool,James,player_15157,Milner,3,7,14,31,5.4,0.0,2.0,0.17
6,Tottenham,Joe,player_15749,Hart,1,7,6,10,-,0.0,2.0,0.0
7,Man. City,Scott,player_17601,Carson,1,1,43,10,-,0.0,2.0,0.0
8,Leicester,Kasper,player_17745,Schmeichel,1,27,13,10,5.6,0.0,2.0,0.9400000000000001
9,Burnley,James,player_17761,Tarkowski,2,14,90,20,5.1,0.0,2.0,0.78
10,Burnley,Phil,player_17997,Bardsley,2,3,90,21,3.7,0.0,2.0,0.17
11,West Ham,Mark,player_18073,Noble,3,7,21,31,4.7,0.0,2.0,0.17
12,Sheffield,Billy,player_18867,Sharp,4,4,49,40,4.5,2.0,2.0,0.11
13,West Bromwich,Robert,player_18987,Snodgrass,3,6,35,32,5,0.0,2.0,0.0
14,Crystal Palace,Scott,player_19188,Dann,2,8,31,20,4.8,1.0,2.0,0.44
15,West Ham,David,player_19194,Martin,1,1,21,10,-,0.0,2.0,0.0
16,Wolverhampton,John,player_19236,Ruddy,1,7,39,10,-,0.0,2.0,0.0
17,Crystal Palace,Gary,player_19419,Cahill,2,7,31,20,4.4,0.0,2.0,0.28
18,Wolverhampton,,player_19624,João Moutinho,3,9,39,32,5.1,0.0,2.0,0.72
19,Crystal Palace,Wayne,player_20066,Hennessey,1,3,31,10,-,0.0,2.0,0.0
20,Chelsea,Willy,player_20310,Caballero,1,5,8,10,4.0,0.0,2.0,0.06
21,Southampton,Shane,player_20452,Long,4,6,20,40,4.5,0.0,2.0,0.06
22,Southampton,Theo,player_20467,Walcott,4,15,20,40,5.3,2.0,2.0,0.67
23,Aston Villa,Tom,player_21205,Heaton,1,3,7,10,-,0.0,2.0,0.0
24,Sheffield,David,player_27436,McGoldrick,4,13,49,40,4.8,4.0,2.0,0.67
25,Man. City,,player_27789,Fernandinho,2,7,43,20,4.9,0.0,2.0,0.17
26,Leeds,,player_28690,Pablo Hernández,3,7,2,32,4.8,0.0,2.0,0.11
27,West Ham,Darren,player_32259,Randolph,1,7,21,10,6.0,0.0,2.0,0.06
28,Tottenham,Gareth,player_36903,Bale,4,8,6,40,5.0,1.0,2.0,0.06
29,West Ham,Lukasz,player_37096,Fabianski,1,16,21,10,5.3,0.0,2.0,0.89
30,Aston Villa,,player_37339,Ahmed El Mohamady,2,7,7,21,5.2,0.0,2.0,0.06
31,Leicester,Christian,player_37402,Fuchs,2,7,13,21,4.7,0.0,2.0,0.44
32,Man. City,Sergio,player_37572,Agüero,4,9,43,40,4.4,0.0,2.0,0.11
33,Arsenal,Mesut,player_37605,Özil,3,3,3,32,-,0.0,2.0,0.0
34,Leicester,Jonny,player_37642,Evans,2,13,13,20,5.0,0.0,2.0,0.72
35,Tottenham,Hugo,player_37915,Lloris,1,25,6,10,5.6,0.0,2.0,0.9400000000000001
36,Tottenham,Danny,player_38290,Rose,2,3,6,21,-,0.0,2.0,0.0
37,Wolverhampton,,player_38533,Rui Patrício,1,16,39,10,5,0.0,2.0,1.0
38,West Bromwich,Lee,player_38716,Peltier,2,3,35,21,4.0,0.0,2.0,0.06
39,Brighton,Adam,player_39155,Lallana,3,11,36,32,4.9,0.0,2.0,0.56
40,Arsenal,,player_39476,Sokratis,2,3,3,20,-,0.0,2.0,0.0
41,Burnley,Erik,player_39487,Pieters,2,8,90,21,4.6,0.0,2.0,0.22
42,Leeds,,player_39790,Kiko Casilla,1,7,2,10,-,0.0,2.0,0.0
43,Newcastle,Andy,player_40142,Carroll,4,6,4,40,4.8,1.0,2.0,0.11
44,Burnley,Jack,player_40145,Cork,3,3,90,31,-,0.0,2.0,0.0
45,Southampton,Ryan,player_40146,Bertrand,2,9,20,21,4.8,0.0,2.0,0.89
46,Southampton,Fraser,player_40383,Forster,1,7,20,10,6.0,0.0,2.0,0.06
47,Sheffield,Chris,player_40386,Basham,2,11,49,20,4.6,0.0,2.0,1.0
48,Fulham,,player_40559,Fabri,1,1,54,10,-,0.0,2.0,0.0
49,Aston Villa,Henri,player_40564,Lansbury,3,1,7,32,-,0.0,2.0,0.0
50,West Ham,Angelo,player_40669,Ogbonna,2,17,21,20,5.2,2.0,2.0,0.9400000000000001
51,Man. United,Edinson,player_40720,Cavani,4,15,1,40,5.1,3.0,2.0,0.17
52,Crystal Palace,Mamadou,player_40784,Sakho,2,5,31,20,4.6,0.0,2.0,0.17
53,Crystal Palace,Vicente,player_40836,Guaita,1,15,31,10,5.2,0.0,2.0,1.0
54,Burnley,Dale,player_40845,Stephens,3,5,90,31,4.7,0.0,2.0,0.17
55,West Bromwich,Branislav,player_41135,Ivanovic,2,9,35,20,4.5,0.0,2.0,0.44
56,Arsenal,,player_41270,David Luiz,2,8,3,20,4.6,0.0,2.0,0.39
57,Chelsea,César,player_41328,Azpilicueta,2,7,8,21,4.9,0.0,2.0,0.33
58,Burnley,Kevin,player_41674,Long,2,5,90,20,4.1,0.0,2.0,0.33
59,Liverpool,Georginio,player_41733,Wijnaldum,3,23,14,32,5.5,1.0,2.0,0.8300000000000001
60,Everton,Fabian,player_41823,Delph,3,7,11,31,5.3,0.0,2.0,0.11
61,West Bromwich,Kieran,player_42427,Gibbs,2,9,35,21,4.6,0.0,2.0,0.28
62,Crystal Palace,Stephen,player_42525,Henderson,1,1,31,10,-,0.0,2.0,0.0
63,Man. United,Sergio,player_42899,Romero,1,1,1,10,-,0.0,2.0,0.0
64,Newcastle,Henri,player_43521,Saivet,3,1,4,32,-,0.0,2.0,0.0
65,Man. United,Juan,player_43670,Mata,3,7,1,32,5.6,0.0,2.0,0.22
66,Chelsea,Olivier,player_44346,Giroud,4,13,8,40,4.9,3.0,2.0,0.22
67,Burnley,Jay,player_44683,Rodriguez,4,9,90,40,4.2,0.0,2.0,0.33
68,Burnley,Ashley,player_44699,Barnes,4,11,90,40,4.4,1.0,2.0,0.56
69,Tottenham,Moussa,player_45268,Sissoko,3,12,6,31,5.2,0.0,2.0,0.67
70,Sheffield,John,player_47247,Fleck,3,9,49,32,4.9,0.0,2.0,0.56
71,Aston Villa,Neil,player_47390,Taylor,2,4,7,21,-,0.0,2.0,0.0
72,Arsenal,,player_47431,Willian,4,9,3,40,4.9,0.0,2.0,0.67
73,Brighton,Jason,player_49262,Steele,1,7,36,10,-,0.0,2.0,0.0
74,Sheffield,Jack,player_49384,Rodwell,3,1,49,31,-,0.0,2.0,0.0
75,Crystal Palace,James,player_49413,Tomkins,2,3,31,20,4.9,0.0,2.0,0.17
76,West Bromwich,Hal,player_49440,Robson-Kanu,4,6,35,40,4.5,0.0,2.0,0.0
77,West Bromwich,Jake,player_49944,Livermore,3,7,35,31,4.3,0.0,2.0,0.56
78,West Bromwich,Kamil,player_49957,Grosicki,3,5,35,32,4.5,0.0,2.0,0.0
79,West Bromwich,David,player_50093,Button,1,7,35,10,-,0.0,2.0,0.0
80,Brighton,Danny,player_50175,Welbeck,4,14,36,40,5.1,2.0,2.0,0.39
81,West Bromwich,Matt,player_50229,Phillips,3,9,35,32,4.4,0.0,2.0,0.39
82,Newcastle,Jonjo,player_50232,Shelvey,3,9,4,31,5.0,0.0,2.0,0.44
83,Crystal Palace,James,player_50471,McArthur,3,12,31,31,5.3,0.0,2.0,0.8300000000000001
84,Crystal Palace,James,player_50472,McCarthy,3,5,31,31,4.9,0.0,2.0,0.22
85,Chelsea,,player_51090,Thiago Silva,2,19,8,20,5.4,2.0,2.0,0.67
86,Burnley,Ben,player_51927,Mee,2,13,90,20,5.6,1.0,2.0,0.56
87,Leicester,Marc,player_51938,Albrighton,3,9,13,32,5.4,0.0,2.0,0.39
88,Man. United,David,player_51940,de Gea,1,15,1,10,5.1,0.0,2.0,0.8300000000000001
89,Arsenal,Pierre-Emerick,player_54694,Aubameyang,4,28,3,40,5.1,3.0,2.0,0.89
90,Crystal Palace,Christian,player_54861,Benteke,4,12,31,40,4.8,3.0,2.0,0.39
91,Crystal Palace,Cheikhou,player_55037,Kouyaté,3,14,31,31,5,1.0,2.0,1.0
92,Fulham,Kevin,player_55038,McDonald,3,1,54,31,-,0.0,2.0,0.0
