,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
93,Everton,Gylfi,player_55422,Sigurdsson,3,17,11,32,5.3,2.0,2.0,0.56
94,Everton,Yannick,player_55452,Bolasie,4,1,11,40,-,0.0,2.0,0.0
95,West Ham,Aaron,player_55459,Cresswell,2,18,21,21,5.5,0.0,2.0,0.9400000000000001
96,Crystal Palace,Joel,player_55494,Ward,2,6,31,21,4.8,0.0,2.0,0.5
97,Tottenham,Toby,player_55605,Alderweireld,2,14,6,20,5.4,1.0,2.0,0.61
98,Leeds,Liam,player_55914,Cooper,2,10,2,20,4.7,1.0,2.0,0.61
99,West Ham,Andriy,player_56377,Yarmolenko,4,5,21,40,4.7,0.0,2.0,0.06
100,Liverpool,Jordan,player_56979,Henderson,3,18,14,31,5.8,1.0,2.0,0.72
101,Newcastle,Matt,player_56983,Ritchie,2,7,4,21,4.9,0.0,2.0,0.33
102,Newcastle,Federico,player_57145,Fernández,2,10,4,20,4.9,0.0,2.0,0.89
103,Crystal Palace,Nathaniel,player_57328,Clyne,2,8,31,21,4.7,0.0,2.0,0.5
104,Everton,Jonas,player_57513,Lössl,1,3,11,10,-,0.0,2.0,0.0
105,West Ham,Michail,player_57531,Antonio,4,11,21,40,5.2,3.0,2.0,0.39
106,Southampton,Alex,player_58376,McCarthy,1,22,20,10,5.6,0.0,2.0,0.89
107,Man. United,Odion,player_58498,Ighalo,4,2,1,40,4,0.0,2.0,0.0
108,Man. City,Kyle,player_58621,Walker,2,16,43,21,5.0,1.0,2.0,0.61
109,Crystal Palace,Martin,player_58786,Kelly,2,3,31,21,-,0.0,2.0,0.0
110,Arsenal,,player_58822,Cédric Soares,2,3,3,21,5,0.0,2.0,0.0
111,Newcastle,Ciaran,player_58845,Clark,2,13,4,20,5.0,1.0,2.0,0.5
112,Man. United,Marcos,player_58893,Rojo,2,1,1,20,-,0.0,2.0,0.0
113,Crystal Palace,Connor,player_59125,Wickham,4,1,31,40,-,0.0,2.0,0.0
114,Newcastle,Karl,player_59735,Darlow,1,15,4,10,5.6,0.0,2.0,0.9400000000000001
115,Man. City,Ilkay,player_59859,Gündogan,3,20,43,31,6.0,3.0,2.0,0.5
116,West Bromwich,Kyle,player_59940,Bartley,2,8,35,20,4.7,1.0,2.0,0.44
117,Everton,Séamus,player_59949,Coleman,2,7,11,21,5.1,0.0,2.0,0.39
118,Arsenal,Alexandre,player_59966,Lacazette,4,21,3,40,5.3,7.0,2.0,0.61
119,Everton,James,player_60025,Rodríguez,3,19,11,32,5.9,3.0,2.0,0.61
120,West Ham,Craig,player_60232,Dawson,2,3,21,20,5.5,0.0,2.0,0.11
121,Crystal Palace,Andros,player_60252,Townsend,3,13,31,32,5.9,1.0,2.0,0.78
122,Brighton,Pascal,player_60307,Groß,3,14,36,32,5.4,2.0,2.0,0.39
123,Burnley,Ashley,player_60551,Westwood,3,14,90,31,5.1,1.0,2.0,0.89
124,Burnley,Jóhann,player_60586,Gudmundsson,3,5,90,32,5.1,0.0,2.0,0.22
125,Burnley,Chris,player_60689,Wood,4,17,90,40,4.5,3.0,2.0,0.89
126,Liverpool,,player_60706,Adrián,1,3,14,10,2.8,0.0,2.0,0.11
127,Liverpool,Joel,player_60914,Matip,2,16,14,20,5.8,1.0,2.0,0.39
128,Man. City,Kevin,player_61366,De Bruyne,3,36,43,32,6.3,3.0,2.0,0.78
129,Liverpool,,player_61558,Thiago,3,7,14,31,5.0,0.0,2.0,0.11
130,West Bromwich,Romaine,player_61600,Sawyers,3,12,35,32,4.6,0.0,2.0,0.72
131,Chelsea,Daniel,player_61603,Drinkwater,3,1,8,31,-,0.0,2.0,0.0
132,Fulham,Maxime,player_61739,Le Marchand,2,3,54,20,4.8,0.0,2.0,0.06
133,Man. City,,player_61898,Mix Diskerud,3,1,43,31,-,0.0,2.0,0.0
134,Fulham,Stefan,player_61916,Johansen,3,1,54,31,-,0.0,2.0,0.0
135,Man. United,Nemanja,player_62398,Matic,3,8,1,31,5.5,0.0,2.0,0.39
136,Tottenham,Erik,player_62974,Lamela,3,6,6,32,5.1,0.0,2.0,0.11
137,Sheffield,Enda,player_63426,Stevens,2,9,49,21,4.4,0.0,2.0,0.78
138,Brighton,Davy,player_66242,Pröpper,3,3,36,31,4.8,0.0,2.0,0.11
139,Leeds,Luke,player_66588,Ayling,2,11,2,21,4.9,0.0,2.0,0.9400000000000001
140,Everton,Cenk,player_66838,Tosun,4,6,11,40,4.4,0.0,2.0,0.0
141,Crystal Palace,Luka,player_66975,Milivojevic,3,10,31,31,5.3,0.0,2.0,0.56
142,Newcastle,Martin,player_67089,Dubravka,1,5,4,10,-,0.0,2.0,0.0
143,Wolverhampton,,player_67184,Roderick Miranda,2,1,39,20,-,0.0,2.0,0.0
144,Liverpool,Xherdan,player_68312,Shaqiri,4,4,14,40,5.5,0.0,2.0,0.0
145,Burnley,Matthew,player_68983,Lowton,2,12,90,21,5.0,0.0,2.0,0.67
146,Arsenal,Shkodran,player_69140,Mustafi,2,6,3,20,5,0.0,2.0,0.0
147,Leeds,Mateusz,player_72222,Klich,3,16,2,32,5.1,3.0,2.0,0.9400000000000001
148,Fulham,Denis,player_72681,Odoi,2,3,54,21,3.5,0.0,2.0,0.17
149,Man. United,Paul,player_74208,Pogba,3,13,1,31,5.1,2.0,2.0,0.56
150,Crystal Palace,Patrick,player_74230,van Aanholt,2,14,31,21,4.8,0.0,2.0,0.5
151,Sheffield,Simon,player_74854,Moore,1,1,49,10,-,0.0,2.0,0.0
152,Newcastle,Callum,player_75115,Wilson,4,28,4,40,5.3,8.0,2.0,0.8300000000000001
153,Fulham,Tom,player_76357,Cairney,3,15,54,32,5.6,1.0,2.0,0.5
154,Man. United,Phil,player_76359,Jones,2,1,1,20,-,0.0,2.0,0.0
155,Southampton,Oriol,player_78056,Romeu,3,14,20,31,5.5,1.0,2.0,0.8300000000000001
156,West Bromwich,Jonathan,player_78603,Bond,1,1,35,10,-,0.0,2.0,0.0
157,Tottenham,Harry,player_78830,Kane,4,43,6,40,6.2,11.0,2.0,0.9400000000000001
158,Brighton,Dan,player_78916,Burn,2,8,36,20,4.5,0.0,2.0,0.5
159,Aston Villa,Jed,player_79852,Steer,1,7,7,10,-,0.0,2.0,0.0
160,Sheffield,Oliver,player_79934,Norwood,3,8,49,31,4.7,0.0,2.0,0.39
161,Crystal Palace,Jordan,player_80146,Ayew,4,10,31,40,4.4,1.0,2.0,0.44
162,Leeds,Adam,player_80179,Forshaw,3,1,2,31,-,0.0,2.0,0.0
163,Arsenal,Bernd,player_80201,Leno,1,14,3,10,5.3,0.0,2.0,1.0
164,Tottenham,Serge,player_80226,Aurier,2,10,6,21,5.2,1.0,2.0,0.5
165,Leeds,,player_80954,Rodrigo,4,11,2,40,4.9,3.0,2.0,0.5
166,West Ham,Ryan,player_81012,Fredericks,2,5,21,21,5.1,0.0,2.0,0.22
167,Burnley,Matej,player_81183,Vydra,4,6,90,40,4.5,0.0,2.0,0.06
168,Newcastle,Mark,player_81441,Gillespie,1,7,4,10,-,0.0,2.0,0.0
169,Liverpool,Alex,player_81880,Oxlade-Chamberlain,3,8,14,32,5.0,0.0,2.0,0.06
170,Sheffield,Wes,player_82143,Foderingham,1,3,49,10,-,0.0,2.0,0.0
171,Chelsea,Marcos,player_82263,Alonso,2,4,8,21,4.3,0.0,2.0,0.17
172,Crystal Palace,Wilfried,player_82403,Zaha,4,20,31,40,5.4,8.0,2.0,0.89
173,Fulham,Tim,player_82514,Ream,2,5,54,20,4.3,0.0,2.0,0.28
174,Sheffield,George,player_82691,Baldock,2,11,49,21,4.5,0.0,2.0,0.89
175,Southampton,Nathan,player_83283,Redmond,3,13,20,32,5.2,1.0,2.0,0.17
176,Brighton,Lewis,player_83299,Dunk,2,14,36,20,5.0,2.0,2.0,0.8300000000000001
177,Newcastle,Jeff,player_83314,Hendrick,3,10,4,32,5.2,2.0,2.0,0.61
178,Sheffield,Jack,player_83427,Robinson,2,7,49,21,4.4,0.0,2.0,0.33
179,Fulham,Alphonse,player_84182,Areola,1,22,54,10,5.7,0.0,2.0,0.8300000000000001
180,Arsenal,Granit,player_84450,Xhaka,3,15,3,31,5.2,1.0,2.0,0.72
181,Fulham,Michael,player_84915,Hector,2,5,54,20,3.8,0.0,2.0,0.17
182,Southampton,Danny,player_84939,Ings,4,29,20,40,5.8,7.0,2.0,0.67
183,Aston Villa,Conor,player_85242,Hourihane,3,7,7,31,5.8,1.0,2.0,0.17
184,Chelsea,,player_85955,Jorginho,3,8,8,31,5.4,3.0,2.0,0.39
185,Tottenham,,player_85971,Son Heung-Min,4,44,6,40,6.3,12.0,2.0,0.9400000000000001
186,Crystal Palace,Jeffrey,player_86417,Schlupp,2,16,31,21,5.1,2.0,2.0,0.67
187,Leicester,Nampalys,player_86881,Mendy,3,11,13,31,5.3,0.0,2.0,0.72
188,West Ham,Manuel,player_86934,Lanzini,3,7,21,32,5.4,1.0,2.0,0.06
189,Everton,Muhamed,player_87447,Besic,3,1,11,31,-,0.0,2.0,0.0
190,Tottenham,Matt,player_87835,Doherty,2,10,6,21,5.0,0.0,2.0,0.44
191,Leeds,Stuart,player_87873,Dallas,2,17,2,21,5.1,3.0,2.0,0.9400000000000001
192,Aston Villa,Lovre,player_88175,Kalinic,1,1,7,10,-,0.0,2.0,0.0
193,Aston Villa,Ross,player_88894,Barkley,3,9,7,32,5.8,2.0,2.0,0.33
194,Southampton,Jack,player_88900,Stephens,2,7,20,20,4.7,0.0,2.0,0.33
195,Newcastle,Ryan,player_90105,Fraser,3,7,4,32,5.1,0.0,2.0,0.17
196,Burnley,Robbie,player_90517,Brady,3,13,90,31,5.6,1.0,2.0,0.44
197,Wolverhampton,Willy,player_90585,Boly,2,8,39,20,4.9,0.0,2.0,0.67
198,Southampton,Stuart,player_91047,Armstrong,3,22,20,32,5.5,2.0,2.0,0.72
199,Chelsea,Mateo,player_91651,Kovacic,3,11,8,32,5.2,0.0,2.0,0.44
200,Liverpool,,player_92217,Roberto Firmino,4,24,14,40,5.3,5.0,2.0,0.9400000000000001
201,Fulham,Neeskens,player_92259,Kebano,3,4,54,32,4.9,0.0,2.0,0.06
202,Arsenal,Pablo,player_92371,Marí,2,3,3,20,5.5,0.0,2.0,0.17
203,Southampton,Jannik,player_93100,Vestergaard,2,20,20,20,5.7,3.0,2.0,0.67
204,Tottenham,Eric,player_93264,Dier,3,15,6,31,5.3,0.0,2.0,0.89
205,Brighton,Florin,player_93284,Andone,4,2,36,40,-,0.0,2.0,0.0
206,Wolverhampton,Conor,player_94147,Coady,2,13,39,20,4.8,0.0,2.0,0.9400000000000001
207,Crystal Palace,Michy,player_94245,Batshuayi,4,7,31,40,4.6,0.0,2.0,0.22
208,Leicester,Danny,player_95463,Ward,1,7,13,10,-,0.0,2.0,0.0
209,Man. United,Harry,player_95658,Maguire,2,22,1,20,5.3,1.0,2.0,0.9400000000000001
210,Tottenham,,player_95715,Lucas Moura,3,9,6,32,4.6,1.0,2.0,0.22
211,Fulham,Bobby,player_96994,De Cordova-Reid,3,17,54,32,5.2,4.0,2.0,0.67
212,Liverpool,Virgil,player_97032,van Dijk,2,6,14,20,4.6,1.0,2.0,0.28
213,Man. City,John,player_97299,Stones,2,12,43,20,5.9,0.0,2.0,0.44
214,Arsenal,Héctor,player_98745,Bellerín,2,8,3,21,4.7,0.0,2.0,0.89
215,Burnley,Nick,player_98747,Pope,1,27,90,10,5.7,0.0,2.0,0.8300000000000001
216,Aston Villa,Emiliano,player_98980,Martínez,1,21,7,10,5.9,0.0,2.0,0.8300000000000001
217,Everton,,player_100649,Bernard,3,7,11,32,5.0,1.0,2.0,0.11
218,Fulham,Joe,player_101105,Bryan,2,8,54,21,4.7,0.0,2.0,0.22
219,Newcastle,Jamaal,player_101148,Lascelles,2,8,4,20,4.9,0.0,2.0,0.44
220,Southampton,James,player_101178,Ward-Prowse,3,17,20,32,5.9,4.0,2.0,0.9400000000000001
221,Arsenal,Calum,player_101184,Chambers,2,1,3,20,-,0.0,2.0,0.0
222,Everton,Lucas,player_101188,Digne,2,5,11,21,5.3,0.0,2.0,0.5
223,Man. United,,player_101582,Fred,3,18,1,32,5.7,0.0,2.0,0.56
224,Leicester,Jamie,player_101668,Vardy,4,49,13,40,5.8,11.0,2.0,0.78
225,West Bromwich,Sam,player_101982,Johnstone,1,16,35,10,5.0,0.0,2.0,0.9400000000000001
226,Wolverhampton,Raúl,player_102057,Jiménez,4,19,39,40,5.2,4.0,2.0,0.56
227,Chelsea,Antonio,player_102380,Rüdiger,2,6,8,20,5.8,0.0,2.0,0.11
228,Man. City,Benjamin,player_102826,Mendy,2,8,43,21,4.6,1.0,2.0,0.33
229,Tottenham,Paulo,player_102884,Gazzaniga,1,3,6,10,-,0.0,2.0,0.0
230,Man. City,Riyad,player_103025,Mahrez,3,26,43,32,5.2,4.0,2.0,0.56
231,Chelsea,Kurt,player_103192,Zouma,2,24,8,20,5.7,4.0,2.0,0.8300000000000001
232,Burnley,Charlie,player_103914,Taylor,2,12,90,21,4.9,0.0,2.0,0.8300000000000001
233,Man. City,Raheem,player_103955,Sterling,4,35,43,40,5.4,4.0,2.0,0.72
234,Newcastle,Dwight,player_104547,Gayle,4,8,4,40,5,1.0,2.0,0.0
235,Newcastle,Christian,player_104953,Atsu,3,1,4,32,-,0.0,2.0,0.0
236,Leeds,Ezgjan,player_105377,Alioski,2,13,2,21,4.9,2.0,2.0,0.67
237,Crystal Palace,Jack,player_105666,Butland,1,7,31,10,-,0.0,2.0,0.0
238,West Ham,Arthur,player_105717,Masuaku,2,8,21,21,4.9,0.0,2.0,0.56
239,Everton,Michael,player_106611,Keane,2,16,11,20,5.3,3.0,2.0,0.89
240,Leeds,Patrick,player_106617,Bamford,4,36,2,40,5.5,10.0,2.0,0.9400000000000001
241,Newcastle,Paul,player_106618,Dummett,2,2,4,20,4.8,0.0,2.0,0.11
242,Man. United,Luke,player_106760,Shaw,2,9,1,21,5.0,0.0,2.0,0.67
243,Leicester,Dennis,player_106837,Praet,3,8,13,32,5.2,1.0,2.0,0.5
244,Wolverhampton,Romain,player_107613,Saïss,2,11,39,20,5.2,3.0,2.0,0.72
245,West Bromwich,Conor,player_108053,Townsend,2,6,35,21,5.0,0.0,2.0,0.44
246,Aston Villa,Björn,player_108156,Engels,2,2,7,20,-,0.0,2.0,0.0
247,Sheffield,John,player_108416,Egan,2,10,49,20,4.4,0.0,2.0,0.9400000000000001
248,Brighton,Christian,player_108813,Walton,1,1,36,10,-,0.0,2.0,0.0
249,Tottenham,Dele,player_108823,Alli,3,7,6,32,4.9,0.0,2.0,0.06
250,Man. United,Jesse,player_109322,Lingard,3,3,1,32,-,0.0,2.0,0.0
251,Brighton,Solly,player_109345,March,3,10,36,32,5.0,2.0,2.0,0.8300000000000001
252,Fulham,Terence,player_109434,Kongolo,2,3,54,20,-,0.0,2.0,0.0
253,Newcastle,Javier,player_109528,Manquillo,2,7,4,21,4.8,0.0,2.0,0.28
254,Chelsea,,player_109533,Emerson,2,6,8,21,5,0.0,2.0,0.0
255,Sheffield,Kean,player_109638,Bryan,2,7,49,20,4.5,0.0,2.0,0.11
256,Fulham,Tosin,player_109646,Adarabioyo,2,13,54,20,5.4,0.0,2.0,0.67
257,Chelsea,Kepa,player_109745,Arrizabalaga,1,5,8,10,3.8,0.0,2.0,0.17
258,Aston Villa,Bertrand,player_110504,Traoré,3,14,7,32,5.6,3.0,2.0,0.39
259,Brighton,Adam,player_110735,Webster,2,11,36,20,4.7,0.0,2.0,0.9400000000000001
260,Liverpool,Sadio,player_110979,Mané,4,39,14,40,5.8,6.0,2.0,0.8300000000000001
261,Everton,Jordan,player_111234,Pickford,1,16,11,10,5.3,0.0,2.0,0.8300000000000001
262,Wolverhampton,,player_111291,Marçal,2,9,39,21,4.9,0.0,2.0,0.44
263,Brighton,Joël,player_111478,Veltman,2,9,36,21,4.7,0.0,2.0,0.56
264,Newcastle,Emil,player_111773,Krafth,2,4,4,21,4.4,0.0,2.0,0.17
265,Everton,Robin,player_111782,Olsen,1,7,11,10,5.5,0.0,2.0,0.11
266,Leicester,,player_111931,Ricardo Pereira,2,5,13,21,-,0.0,2.0,0.0
267,Wolverhampton,,player_114128,Jonny,2,2,39,21,-,0.0,2.0,0.0
268,Newcastle,Jacob,player_114243,Murphy,3,10,4,32,4.9,1.0,2.0,0.39
269,Aston Villa,Jack,player_114283,Grealish,3,42,7,32,6.8,5.0,2.0,0.8300000000000001
270,Brighton,Neal,player_115382,Maupay,4,20,36,40,5.0,6.0,2.0,0.72
271,Tottenham,Ben,player_115556,Davies,2,9,6,21,5.1,0.0,2.0,0.39
272,Arsenal,Rúnar Alex,player_115918,Rúnarsson,1,7,3,10,-,0.0,2.0,0.0
273,Brighton,Leandro,player_116216,Trossard,3,12,36,32,5.1,1.0,2.0,0.67
274,Liverpool,,player_116535,Alisson,1,15,14,10,5.5,0.0,2.0,0.78
275,Chelsea,N'Golo,player_116594,Kanté,3,17,8,31,5.5,0.0,2.0,0.9400000000000001
276,Liverpool,,player_116643,Fabinho,3,16,14,31,5.5,0.0,2.0,0.78
277,Liverpool,,player_118748,Mohamed Salah,4,53,14,40,5.8,13.0,2.0,0.8300000000000001
278,Newcastle,Fabian,player_119471,Schär,2,7,4,20,4.5,0.0,2.0,0.44
279,Everton,,player_119765,Allan,3,15,11,31,5.5,0.0,2.0,0.67
280,Everton,,player_120250,André Gomes,3,8,11,31,4.9,0.0,2.0,0.28
281,Man. City,,player_121145,João Cancelo,2,12,43,21,5.2,0.0,2.0,0.67
282,Man. City,,player_121160,Ederson,1,17,43,10,5.1,0.0,2.0,0.8300000000000001
283,Everton,Abdoulaye,player_121599,Doucouré,3,17,11,32,5.6,1.0,2.0,0.9400000000000001
284,Liverpool,Andrew,player_122798,Robertson,2,21,14,21,5.1,1.0,2.0,0.9400000000000001
285,Aston Villa,John,player_122806,McGinn,3,18,7,31,5.6,1.0,2.0,0.8300000000000001
286,Aston Villa,Kortney,player_123354,Hause,2,9,7,20,6.0,1.0,2.0,0.22
287,Chelsea,Hakim,player_124183,Ziyech,3,14,8,32,5.4,1.0,2.0,0.33
288,Man. City,Nathan,player_126184,Aké,2,9,43,20,5.0,1.0,2.0,0.28
289,Fulham,Ruben,player_126187,Loftus-Cheek,3,11,54,32,5.0,1.0,2.0,0.5
290,Fulham,Aleksandar,player_128389,Mitrovic,4,9,54,40,4.6,2.0,2.0,0.44
291,Brighton,Mat,player_131897,Ryan,1,7,36,10,4.5,0.0,2.0,0.61
292,Tottenham,Pierre-Emile,player_132015,Højbjerg,3,17,6,31,5.6,0.0,2.0,0.9400000000000001
293,Chelsea,Andreas,player_135363,Christensen,2,5,8,20,4.8,0.0,2.0,0.28
294,Crystal Palace,Max,player_141020,Meyer,3,3,31,32,-,0.0,2.0,0.0
295,Man. United,,player_141746,Bruno Fernandes,3,48,1,32,6.6,11.0,2.0,0.89
296,West Bromwich,Semi,player_146426,Ajayi,2,15,35,20,4.2,1.0,2.0,0.89
