,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
0,Angers,Ludovic,player_11382,Butelle,1,7,2128,10,-,0.0,1.0,0.0
1,Monaco,Cesc,player_17878,Fàbregas,3,9,146,32,5.2,1.0,1.0,0.26
2,Angers,Thomas,player_18574,Mangani,3,13,2128,31,5.1,1.0,1.0,0.89
3,Bordeaux,Hatem,player_18753,Ben Arfa,3,17,140,32,5.7,2.0,1.0,0.58
4,Strasbourg,Eiji,player_19739,Kawashima,1,10,153,10,5.2,0.0,1.0,0.58
5,Monaco,Vito,player_20487,Mannone,1,13,146,10,5.0,0.0,1.0,0.47000000000000003
6,Nice,,player_26894,Dante,2,5,1395,20,5.5,2.0,1.0,0.47000000000000003
7,Saint-Étienne,Mathieu,player_27334,Debuchy,2,12,152,21,5.1,1.0,1.0,0.58
8,Bordeaux,Jimmy,player_27675,Briand,4,8,140,40,4.6,1.0,1.0,0.05
9,Montpellier,,player_28136,Hilton,2,9,147,20,4.9,0.0,1.0,0.47000000000000003
10,Paris,Keylor,player_28411,Navas,1,24,149,10,5.9,0.0,1.0,0.74
11,Bordeaux,Paul,player_37758,Baysse,2,11,140,20,5.2,0.0,1.0,0.79
12,Marseille,Yohann,player_37769,Pelé,1,7,144,10,-,0.0,1.0,0.0
13,Brest,Ludovic,player_37776,Baal,2,4,862,21,4.4,0.0,1.0,0.16
14,Lorient,Jérémy,player_37832,Morel,2,10,694,20,4.4,0.0,1.0,0.89
15,Rennes,Romain,player_37836,Salin,1,9,150,10,5.6,0.0,1.0,0.68
16,Marseille,Dimitri,player_37901,Payet,3,20,144,32,5.5,3.0,1.0,0.53
17,Lorient,Sylvain,player_37939,Marveaux,3,7,694,32,4.8,0.0,1.0,0.11
18,Saint-Étienne,Jessy,player_37990,Moulin,1,13,152,10,4.6,0.0,1.0,1.0
19,Montpellier,Daniel,player_38002,Congré,2,13,147,20,5.1,2.0,1.0,1.0
20,Saint-Étienne,Kévin,player_38261,Monnet-Paquet,4,5,152,40,4.3,0.0,1.0,0.21
21,Lille,,player_38580,José Fonte,2,19,429,20,5.7,1.0,1.0,0.9500000000000001
22,Lille,Burak,player_39931,Yilmaz,4,25,429,40,5.6,9.0,1.0,0.79
23,Nantes,Denis,player_40511,Petric,1,7,430,10,-,0.0,1.0,0.0
24,Lille,Jérémy,player_40833,Pied,2,5,429,21,4.9,0.0,1.0,0.16
25,Angers,Ismael,player_42416,Traoré,2,19,2128,20,5.2,3.0,1.0,1.0
26,Bordeaux,Benoît,player_42713,Costil,1,19,140,10,5.6,0.0,1.0,1.0
27,Nice,Morgan,player_42774,Schneiderlin,3,10,1395,31,5.3,0.0,1.0,0.74
28,Lorient,Fabien,player_43553,Lemoine,3,10,694,31,4.8,0.0,1.0,0.58
29,Lens,Jean-Louis,player_44136,Leca,1,14,142,10,5.1,0.0,1.0,0.9500000000000001
30,Lens,Yannick,player_44138,Cahuzac,3,12,142,31,5.2,0.0,1.0,0.68
31,Rennes,Damien,player_44287,Da Silva,2,17,150,20,5.4,4.0,1.0,0.89
32,Marseille,Steve,player_44413,Mandanda,1,24,144,10,5.5,0.0,1.0,0.89
33,Lorient,Matthieu,player_45032,Dreyer,1,7,694,10,5.5,0.0,1.0,0.05
34,Strasbourg,Lamine,player_45076,Koné,2,5,153,20,4.0,0.0,1.0,0.26
35,Nîmes,Lucas,player_45084,Deaux,3,6,2336,31,4.3,0.0,1.0,0.58
36,Metz,Alexandre,player_45123,Oukidja,1,24,145,10,5.8,0.0,1.0,0.9500000000000001
37,Angers,Romain,player_45505,Thomas,2,13,2128,20,5.3,3.0,1.0,0.84
38,Paris,Ángel,player_46497,Di María,3,29,149,32,5.8,2.0,1.0,0.63
39,Marseille,Kostas,player_47434,Mitroglou,4,2,144,40,-,0.0,1.0,0.0
40,Lille,Orestis,player_48332,Karnezis,1,7,429,10,-,0.0,1.0,0.0
41,Rennes,Steven,player_49323,Nzonzi,3,17,150,31,5.6,1.0,1.0,0.89
42,Dijon,Bruno,player_49382,Ecuele Manga,2,14,2130,20,5.3,1.0,1.0,1.0
43,Marseille,Kevin,player_49887,Strootman,3,9,144,31,5.0,0.0,1.0,0.05
44,Monaco,Stevan,player_50442,Jovetic,4,6,146,40,4.8,1.0,1.0,0.11
45,Bordeaux,Laurent,player_51507,Koscielny,2,10,140,20,5.6,0.0,1.0,0.58
46,Nîmes,Nolan,player_51525,Roux,4,6,2336,40,4.2,0.0,1.0,0.32
47,Lyon,,player_52573,Marcelo,2,15,143,20,5.5,0.0,1.0,0.89
48,Montpellier,Damien,player_52782,Le Tallec,3,6,147,31,4.8,0.0,1.0,0.37
49,Brest,Julien,player_54405,Faussurier,2,6,862,21,4.7,0.0,1.0,0.21
50,Metz,Paul,player_54409,Delecroix,1,1,145,10,-,0.0,1.0,0.0
51,Dijon,Frédéric,player_54413,Sammaritano,3,9,2130,32,5.0,0.0,1.0,0.26
52,Angers,Vincent,player_54518,Manceau,2,9,2128,21,4.8,0.0,1.0,0.58
53,Nantes,,player_54771,Fabio,2,8,430,21,4.6,0.0,1.0,0.74
54,Saint-Étienne,Ryad,player_55264,Boudebouz,3,11,152,32,5.2,0.0,1.0,0.26
55,Rennes,Clément,player_55305,Grenier,3,11,150,32,4.7,2.0,1.0,0.32
