,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
0,Paris,Jonathan,player_18168,Pitroipa,4,10,2338,40,5.3,0.0,4.0,0.58
1,Pau,Anthony,player_26758,Scaramozzino,2,8,5420,20,4.7,0.0,4.0,0.74
2,Guingamp,Jacques-Alaixys,player_32367,Romao,3,10,428,31,4.8,0.0,4.0,0.79
3,Caen,Rémy,player_37838,Riou,1,11,1028,10,5.6,0.0,4.0,0.79
4,Le Havre,Alexandre,player_38007,Bonnet,3,9,141,32,5.1,1.0,4.0,0.26
5,Châteauroux,Abdoulrazak,player_38260,Boukari,3,10,921,32,4.8,1.0,4.0,0.21
6,Ajaccio,Cédric,player_40733,Avinel,2,12,1163,20,4.9,0.0,4.0,0.89
7,Caen,Prince,player_40808,Oniangué,3,11,1028,31,5.3,0.0,4.0,0.84
8,Guingamp,Jérémy,player_42714,Sorbon,2,7,428,20,4.7,0.0,4.0,0.53
9,Châteauroux,Alexandre,player_42720,Raineau,2,7,921,21,4.8,0.0,4.0,0.37
10,Amiens,Régis,player_42766,Gurtner,1,24,1430,10,5.7,0.0,4.0,0.89
11,Caen,Anthony,player_42771,Weber,2,12,1028,20,5.1,0.0,4.0,0.63
12,Chambly,Simon,player_44280,Pontdemé,1,6,6783,10,4.1,0.0,4.0,0.37
13,Pau,Romain,player_44499,Armand,4,13,5420,40,4.7,4.0,4.0,0.74
14,Grenoble,Brice,player_45103,Maubleu,1,18,1272,10,5.6,0.0,4.0,1.0
15,Ajaccio,Mohamed,player_45108,Youssouf,2,10,1163,21,4.9,0.0,4.0,0.58
16,Nancy,Andé,player_46141,Dona Ndoh,4,1,148,40,-,0.0,4.0,0.0
17,Le Havre,Jean-Pascal,player_47104,Fontaine,3,14,141,31,5.2,0.0,4.0,0.68
18,Valenciennes,Teddy,player_47128,Chevalier,4,18,1996,40,5.1,3.0,4.0,0.68
19,Grenoble,Loic,player_49050,Nestor,2,16,1272,20,5.3,4.0,4.0,0.84
20,Rodez,Amiran,player_49057,Sanaia,2,6,3308,20,4.8,0.0,4.0,0.37
21,Clermont,Johan,player_50148,Gastien,3,20,1983,31,5.8,0.0,4.0,0.9500000000000001
22,Nancy,Abdelhamid,player_50301,El Kaoutari,2,8,148,20,4.7,0.0,4.0,0.79
23,Guingamp,Ronny,player_50996,Rodelin,4,13,428,40,5.3,3.0,4.0,0.63
24,Guingamp,Pierrick,player_51394,Valdivia,3,7,428,31,4.5,0.0,4.0,0.16
25,Auxerre,François,player_51524,Bellugou,3,5,138,31,4.7,0.0,4.0,0.05
26,Chambly,Marvin,player_51634,Martin,3,1,6783,32,4.8,0.0,4.0,0.05
27,Amiens,Yohann,player_52777,Thuram-Ulien,1,7,1430,10,5.0,0.0,4.0,0.11
28,Auxerre,Samuel,player_55254,Souprayen,2,5,138,20,-,0.0,4.0,0.0
29,Grenoble,Yoric,player_55592,Ravet,4,17,1272,40,5.8,2.0,4.0,0.63
30,Sochaux,Pape,player_57734,Paye,2,7,693,21,4.7,0.0,4.0,0.74
31,Le Havre,Herve,player_58616,Bazile,4,8,141,40,4.9,1.0,4.0,0.32
32,Le Havre,Mathieu,player_59956,Gorgelin,1,13,141,10,5,0.0,4.0,1.0
33,Caen,Yoann,player_59964,Court,3,18,1028,32,5.3,3.0,4.0,0.74
34,Caen,Erwin,player_60189,Zelazny,1,1,1028,10,-,0.0,4.0,0.0
35,Sochaux,Johan,player_60423,Martial,2,2,693,20,-,0.0,4.0,0.0
36,Châteauroux,Romain,player_60426,Grange,3,15,921,32,5.2,2.0,4.0,0.68
37,Châteauroux,Jérémy,player_60484,Cordoval,2,9,921,21,5.0,0.0,4.0,0.42
38,Valenciennes,Matteo,player_60658,Fedele,3,1,1996,31,5.0,0.0,4.0,0.11
39,Rodez,Loïc,player_60810,Poujol,3,5,3308,31,5.1,0.0,4.0,0.11
40,Toulouse,Ruben,player_61983,Gabrielsen,2,17,427,20,5.3,0.0,4.0,0.79
